                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.2968,                 1.5531,                 1.6698,                0.49271,                0.60313,                  0.567,                0.39642,                  1.073,                 1.4072,                 1.5656,               0.001981,               0.001981,               0.001981
                     83,                  1.313,                  1.572,                 1.6854,                0.53116,                0.56217,                0.55693,                0.39171,                 1.0776,                 1.3748,                 1.5698,               0.001882,               0.001882,               0.001882
                     84,                 1.2946,                 1.5469,                 1.6549,                0.50211,                0.58571,                0.55802,                 0.3876,                 1.0711,                 1.3911,                 1.5688,               0.001783,               0.001783,               0.001783
                     85,                 1.2987,                 1.5564,                 1.6516,                0.50505,                 0.6143,                0.57049,                0.39937,                 1.0668,                 1.3647,                 1.5577,               0.001684,               0.001684,               0.001684
                     86,                 1.3154,                 1.6126,                 1.6884,                0.50387,                0.61802,                0.57366,                0.40182,                 1.0477,                 1.3646,                 1.5404,               0.001585,               0.001585,               0.001585
                     87,                 1.3071,                 1.5604,                 1.6735,                0.50713,                0.59145,                0.57349,                 0.4016,                 1.0554,                 1.3594,                 1.5459,               0.001486,               0.001486,               0.001486
                     88,                  1.284,                 1.5392,                 1.6363,                0.50641,                0.60047,                0.56894,                0.39865,                 1.0664,                 1.3603,                 1.5583,               0.001387,               0.001387,               0.001387
                     89,                 1.2878,                  1.563,                 1.6495,                0.52054,                0.59419,                0.56974,                0.40498,                 1.0407,                 1.3362,                 1.5312,               0.001288,               0.001288,               0.001288
                     90,                 1.2083,                 1.5401,                 1.6245,                 0.4879,                0.59094,                0.55101,                0.38371,                 1.0744,                 1.4163,                 1.5497,               0.001189,               0.001189,               0.001189
                     91,                 1.1879,                 1.5293,                 1.6163,                0.48618,                0.62249,                0.57533,                0.40603,                 1.0472,                 1.3465,                 1.5301,                0.00109,                0.00109,                0.00109
                     92,                  1.187,                 1.4725,                 1.6027,                0.50731,                0.60908,                0.58106,                0.40805,                 1.0535,                 1.3404,                 1.5376,               0.000991,               0.000991,               0.000991
                     93,                 1.1817,                 1.4883,                 1.6142,                0.51536,                0.60834,                0.58101,                0.41064,                 1.0393,                 1.3338,                   1.53,               0.000892,               0.000892,               0.000892
                     94,                 1.1721,                 1.4666,                 1.5989,                0.51705,                0.61132,                0.57952,                0.40907,                 1.0435,                 1.3416,                 1.5327,               0.000793,               0.000793,               0.000793
                     95,                 1.1799,                 1.4606,                 1.6258,                0.52425,                0.62194,                0.59245,                0.41933,                 1.0294,                 1.3093,                 1.5209,               0.000694,               0.000694,               0.000694
                     96,                 1.1631,                 1.4435,                 1.5837,                  0.518,                0.61802,                0.58963,                0.41832,                 1.0232,                 1.3113,                 1.5152,               0.000595,               0.000595,               0.000595
                     97,                 1.1556,                  1.426,                 1.5839,                0.51387,                0.61708,                0.58943,                0.41723,                 1.0277,                 1.3091,                 1.5158,               0.000496,               0.000496,               0.000496
                     98,                 1.1421,                 1.4401,                 1.5788,                0.50301,                0.64334,                0.59196,                0.42072,                 1.0237,                 1.3043,                 1.5084,               0.000397,               0.000397,               0.000397
                     99,                 1.1586,                 1.4758,                 1.5856,                0.51402,                0.61802,                0.58982,                0.42182,                 1.0134,                 1.3004,                 1.5006,               0.000298,               0.000298,               0.000298
